Date,Open,High,Low,Close,Adj Close,Volume,SMA50,SMA150,SMA200,SMA200 mean 20days,SMA200 befor 20days,SMA200 Gap,52W High,52W High*0.75,52W Low,52W Low*1.3,Up,Down,U/D,No1,No2,No3,No4,No5,No6,No7,Total,BuyFlg1,SellFlg1,SellFlg2,Earn,BuyingFlg,SelledFlg,TotalEarn,BuyPrice
1971-02-05,100.0,100.0,100.0,100.0,100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,75.0,100.0,130.0,0.0,0.0,0.0,1,0,0,0,1,0,1,3,0,1,0,0.0,0.0,0.0,0.0,0.0
1971-02-08,100.839996,100.839996,100.839996,100.839996,100.839996,0,0.0,0.0,0.0,0.0,0.0,0.0,100.839996,75.629997,100.0,130.0,0.0,0.0,0.0,1,0,0,0,1,0,1,3,0,1,0,0.0,0.0,0.0,0.0,0.0
1971-02-09,100.760002,100.760002,100.760002,100.760002,100.760002,0,0.0,0.0,0.0,0.0,0.0,0.0,100.839996,75.629997,100.0,130.0,0.0,0.0,0.0,1,0,0,0,1,0,1,3,0,1,0,0.0,0.0,0.0,0.0,0.0
1971-02-10,100.690002,100.690002,100.690002,100.690002,100.690002,0,0.0,0.0,0.0,0.0,0.0,0.0,100.839996,75.629997,100.0,130.0,0.0,0.0,0.0,1,0,0,0,1,0,1,3,0,1,0,0.0,0.0,0.0,0.0,0.0
1971-02-11,101.449997,101.449997,101.449997,101.449997,101.449997,0,0.0,0.0,0.0,0.0,0.0,0.0,101.449997,76.08749775,100.0,130.0,0.0,0.0,0.0,1,0,0,0,1,0,1,3,0,1,0,0.0,0.0,0.0,0.0,0.0
1971-02-12,102.050003,102.050003,102.050003,102.050003,102.050003,0,0.0,0.0,0.0,0.0,0.0,0.0,102.050003,76.53750225,100.0,130.0,0.0,0.0,0.0,1,0,0,0,1,0,1,3,0,1,0,0.0,0.0,0.0,0.0,0.0
1971-02-16,102.190002,102.190002,102.190002,102.190002,102.190002,0,0.0,0.0,0.0,0.0,0.0,0.0,102.190002,76.64250150000001,100.0,130.0,0.0,0.0,0.0,1,0,0,0,1,0,1,3,0,1,0,0.0,0.0,0.0,0.0,0.0
1971-02-17,101.739998,101.739998,101.739998,101.739998,101.739998,0,0.0,0.0,0.0,0.0,0.0,0.0,102.190002,76.64250150000001,100.0,130.0,0.0,0.0,0.0,1,0,0,0,1,0,1,3,0,1,0,0.0,0.0,0.0,0.0,0.0
1971-02-18,101.419998,101.419998,101.419998,101.419998,101.419998,0,0.0,0.0,0.0,0.0,0.0,0.0,102.190002,76.64250150000001,100.0,130.0,0.0,0.0,0.0,1,0,0,0,1,0,1,3,0,1,0,0.0,0.0,0.0,0.0,0.0
1971-02-19,100.699997,100.699997,100.699997,100.699997,100.699997,0,0.0,0.0,0.0,0.0,0.0,0.0,102.190002,76.64250150000001,100.0,130.0,0.0,0.0,0.0,1,0,0,0,1,0,1,3,0,1,0,0.0,0.0,0.0,0.0,0.0
1971-02-22,99.68,99.68,99.68,99.68,99.68,0,0.0,0.0,0.0,0.0,0.0,0.0,102.190002,76.64250150000001,99.68,129.584,0.0,0.0,0.0,1,0,0,0,1,0,1,3,0,1,0,0.0,0.0,0.0,0.0,0.0
1971-02-23,99.720001,99.720001,99.720001,99.720001,99.720001,0,0.0,0.0,0.0,0.0,0.0,0.0,102.190002,76.64250150000001,99.68,129.584,0.0,0.0,0.0,1,0,0,0,1,0,1,3,0,1,0,0.0,0.0,0.0,0.0,0.0
1971-02-24,100.639999,100.639999,100.639999,100.639999,100.639999,0,0.0,0.0,0.0,0.0,0.0,0.0,102.190002,76.64250150000001,99.68,129.584,0.0,0.0,0.0,1,0,0,0,1,0,1,3,0,1,0,0.0,0.0,0.0,0.0,0.0
1971-02-25,101.230003,101.230003,101.230003,101.230003,101.230003,0,0.0,0.0,0.0,0.0,0.0,0.0,102.190002,76.64250150000001,99.68,129.584,0.0,0.0,0.0,1,0,0,0,1,0,1,3,0,1,0,0.0,0.0,0.0,0.0,0.0
1971-02-26,101.339996,101.339996,101.339996,101.339996,101.339996,0,0.0,0.0,0.0,0.0,0.0,0.0,102.190002,76.64250150000001,99.68,129.584,0.0,0.0,0.0,1,0,0,0,1,0,1,3,0,1,0,0.0,0.0,0.0,0.0,0.0
1971-03-01,101.779999,101.779999,101.779999,101.779999,101.779999,0,0.0,0.0,0.0,0.0,0.0,0.0,102.190002,76.64250150000001,99.68,129.584,0.0,0.0,0.0,1,0,0,0,1,0,1,3,0,1,0,0.0,0.0,0.0,0.0,0.0
1971-03-02,101.839996,101.839996,101.839996,101.839996,101.839996,0,0.0,0.0,0.0,0.0,0.0,0.0,102.190002,76.64250150000001,99.68,129.584,0.0,0.0,0.0,1,0,0,0,1,0,1,3,0,1,0,0.0,0.0,0.0,0.0,0.0
1971-03-03,102.07,102.07,102.07,102.07,102.07,0,0.0,0.0,0.0,0.0,0.0,0.0,102.190002,76.64250150000001,99.68,129.584,0.0,0.0,0.0,1,0,0,0,1,0,1,3,0,1,0,0.0,0.0,0.0,0.0,0.0
1971-03-04,102.779999,102.779999,102.779999,102.779999,102.779999,0,0.0,0.0,0.0,0.0,0.0,0.0,102.779999,77.08499925000001,99.68,129.584,0.0,0.0,0.0,1,0,0,0,1,0,1,3,0,1,0,0.0,0.0,0.0,0.0,0.0
1971-03-05,103.0,103.0,103.0,103.0,103.0,0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,77.25,99.68,129.584,0.0,0.0,0.0,1,0,0,0,1,0,1,3,0,1,0,0.0,0.0,0.0,0.0,0.0
1971-03-08,104.230003,104.230003,104.230003,104.230003,104.230003,0,0.0,0.0,0.0,0.0,0.0,0.0,104.230003,78.17250225,99.68,129.584,0.0,0.0,0.0,1,0,0,0,1,0,1,3,0,1,0,0.0,0.0,0.0,0.0,0.0
1971-03-09,104.410004,104.410004,104.410004,104.410004,104.410004,0,0.0,0.0,0.0,0.0,0.0,0.0,104.410004,78.307503,99.68,129.584,0.0,0.0,0.0,1,0,0,0,1,0,1,3,0,1,0,0.0,0.0,0.0,0.0,0.0
1971-03-10,104.139999,104.139999,104.139999,104.139999,104.139999,0,0.0,0.0,0.0,0.0,0.0,0.0,104.410004,78.307503,99.68,129.584,0.0,0.0,0.0,1,0,0,0,1,0,1,3,0,1,0,0.0,0.0,0.0,0.0,0.0
1971-03-11,104.260002,104.260002,104.260002,104.260002,104.260002,0,0.0,0.0,0.0,0.0,0.0,0.0,104.410004,78.307503,99.68,129.584,0.0,0.0,0.0,1,0,0,0,1,0,1,3,0,1,0,0.0,0.0,0.0,0.0,0.0
1971-03-12,104.5,104.5,104.5,104.5,104.5,0,0.0,0.0,0.0,0.0,0.0,0.0,104.5,78.375,99.68,129.584,0.0,0.0,0.0,1,0,0,0,1,0,1,3,0,1,0,0.0,0.0,0.0,0.0,0.0
1971-03-15,105.129997,105.129997,105.129997,105.129997,105.129997,0,0.0,0.0,0.0,0.0,0.0,0.0,105.129997,78.84749775,99.68,129.584,0.0,0.0,0.0,1,0,0,0,1,0,1,3,0,1,0,0.0,0.0,0.0,0.0,0.0
1971-03-16,105.559998,105.559998,105.559998,105.559998,105.559998,0,0.0,0.0,0.0,0.0,0.0,0.0,105.559998,79.16999849999999,99.68,129.584,0.0,0.0,0.0,1,0,0,0,1,0,1,3,0,1,0,0.0,0.0,0.0,0.0,0.0
1971-03-17,105.5,105.5,105.5,105.5,105.5,0,0.0,0.0,0.0,0.0,0.0,0.0,105.559998,79.16999849999999,99.68,129.584,0.0,0.0,0.0,1,0,0,0,1,0,1,3,0,1,0,0.0,0.0,0.0,0.0,0.0
1971-03-18,105.879997,105.879997,105.879997,105.879997,105.879997,0,0.0,0.0,0.0,0.0,0.0,0.0,105.879997,79.40999775,99.68,129.584,0.0,0.0,0.0,1,0,0,0,1,0,1,3,0,1,0,0.0,0.0,0.0,0.0,0.0
1971-03-19,105.769997,105.769997,105.769997,105.769997,105.769997,0,0.0,0.0,0.0,0.0,0.0,0.0,105.879997,79.40999775,99.68,129.584,0.0,0.0,0.0,1,0,0,0,1,0,1,3,0,1,0,0.0,0.0,0.0,0.0,0.0
1971-03-22,105.370003,105.370003,105.370003,105.370003,105.370003,0,0.0,0.0,0.0,0.0,0.0,0.0,105.879997,79.40999775,99.68,129.584,0.0,0.0,0.0,1,0,0,0,1,0,1,3,0,1,0,0.0,0.0,0.0,0.0,0.0
1971-03-23,105.110001,105.110001,105.110001,105.110001,105.110001,0,0.0,0.0,0.0,0.0,0.0,0.0,105.879997,79.40999775,99.68,129.584,0.0,0.0,0.0,1,0,0,0,1,0,1,3,0,1,0,0.0,0.0,0.0,0.0,0.0
1971-03-24,104.699997,104.699997,104.699997,104.699997,104.699997,0,0.0,0.0,0.0,0.0,0.0,0.0,105.879997,79.40999775,99.68,129.584,0.0,0.0,0.0,1,0,0,0,1,0,1,3,0,1,0,0.0,0.0,0.0,0.0,0.0
1971-03-25,104.599998,104.599998,104.599998,104.599998,104.599998,0,0.0,0.0,0.0,0.0,0.0,0.0,105.879997,79.40999775,99.68,129.584,0.0,0.0,0.0,1,0,0,0,1,0,1,3,0,1,0,0.0,0.0,0.0,0.0,0.0
1971-03-26,105.07,105.07,105.07,105.07,105.07,0,0.0,0.0,0.0,0.0,0.0,0.0,105.879997,79.40999775,99.68,129.584,0.0,0.0,0.0,1,0,0,0,1,0,1,3,0,1,0,0.0,0.0,0.0,0.0,0.0
1971-03-29,105.199997,105.199997,105.199997,105.199997,105.199997,0,0.0,0.0,0.0,0.0,0.0,0.0,105.879997,79.40999775,99.68,129.584,0.0,0.0,0.0,1,0,0,0,1,0,1,3,0,1,0,0.0,0.0,0.0,0.0,0.0
1971-03-30,105.440002,105.440002,105.440002,105.440002,105.440002,0,0.0,0.0,0.0,0.0,0.0,0.0,105.879997,79.40999775,99.68,129.584,0.0,0.0,0.0,1,0,0,0,1,0,1,3,0,1,0,0.0,0.0,0.0,0.0,0.0
1971-03-31,105.970001,105.970001,105.970001,105.970001,105.970001,0,0.0,0.0,0.0,0.0,0.0,0.0,105.970001,79.47750074999999,99.68,129.584,0.0,0.0,0.0,1,0,0,0,1,0,1,3,0,1,0,0.0,0.0,0.0,0.0,0.0
1971-04-01,106.339996,106.339996,106.339996,106.339996,106.339996,0,0.0,0.0,0.0,0.0,0.0,0.0,106.339996,79.754997,99.68,129.584,0.0,0.0,0.0,1,0,0,0,1,0,1,3,0,1,0,0.0,0.0,0.0,0.0,0.0
1971-04-02,106.860001,106.860001,106.860001,106.860001,106.860001,0,0.0,0.0,0.0,0.0,0.0,0.0,106.860001,80.14500075,99.68,129.584,0.0,0.0,0.0,1,0,0,0,1,0,1,3,0,1,0,0.0,0.0,0.0,0.0,0.0
1971-04-05,107.169998,107.169998,107.169998,107.169998,107.169998,0,0.0,0.0,0.0,0.0,0.0,0.0,107.169998,80.3774985,99.68,129.584,0.0,0.0,0.0,1,0,0,0,1,0,1,3,0,1,0,0.0,0.0,0.0,0.0,0.0
1971-04-06,107.559998,107.559998,107.559998,107.559998,107.559998,0,0.0,0.0,0.0,0.0,0.0,0.0,107.559998,80.66999849999999,99.68,129.584,0.0,0.0,0.0,1,0,0,0,1,0,1,3,0,1,0,0.0,0.0,0.0,0.0,0.0
1971-04-07,108.059998,108.059998,108.059998,108.059998,108.059998,0,0.0,0.0,0.0,0.0,0.0,0.0,108.059998,81.04499849999999,99.68,129.584,0.0,0.0,0.0,1,0,0,0,1,0,1,3,0,1,0,0.0,0.0,0.0,0.0,0.0
1971-04-08,108.379997,108.379997,108.379997,108.379997,108.379997,0,0.0,0.0,0.0,0.0,0.0,0.0,108.379997,81.28499775,99.68,129.584,0.0,0.0,0.0,1,0,0,0,1,0,1,3,0,1,0,0.0,0.0,0.0,0.0,0.0
1971-04-12,108.870003,108.870003,108.870003,108.870003,108.870003,0,0.0,0.0,0.0,0.0,0.0,0.0,108.870003,81.65250225,99.68,129.584,0.0,0.0,0.0,1,0,0,0,1,0,1,3,0,1,0,0.0,0.0,0.0,0.0,0.0
1971-04-13,108.849998,108.849998,108.849998,108.849998,108.849998,0,0.0,0.0,0.0,0.0,0.0,0.0,108.870003,81.65250225,99.68,129.584,0.0,0.0,0.0,1,0,0,0,1,0,1,3,0,1,0,0.0,0.0,0.0,0.0,0.0
1971-04-14,109.080002,109.080002,109.080002,109.080002,109.080002,0,0.0,0.0,0.0,0.0,0.0,0.0,109.080002,81.8100015,99.68,129.584,0.0,0.0,0.0,1,0,0,0,1,0,1,3,0,1,0,0.0,0.0,0.0,0.0,0.0
1971-04-15,109.690002,109.690002,109.690002,109.690002,109.690002,0,0.0,0.0,0.0,0.0,0.0,0.0,109.690002,82.26750150000001,99.68,129.584,0.0,0.0,0.0,1,0,0,0,1,0,1,3,0,1,0,0.0,0.0,0.0,0.0,0.0
1971-04-16,109.959999,109.959999,109.959999,109.959999,109.959999,0,0.0,0.0,0.0,0.0,0.0,0.0,109.959999,82.46999925,99.68,129.584,0.0,0.0,0.0,1,0,0,0,1,0,1,3,0,1,0,0.0,0.0,0.0,0.0,0.0
1971-04-19,110.160004,110.160004,110.160004,110.160004,110.160004,0,104.3547996,0.0,0.0,0.0,0.0,0.0,110.160004,82.620003,99.68,129.584,0.0,0.0,0.0,1,0,0,1,1,0,1,4,0,1,0,0.0,0.0,0.0,0.0,0.0
1971-04-20,109.529999,109.529999,109.529999,109.529999,109.529999,0,104.54539958,0.0,0.0,0.0,0.0,0.0,110.160004,82.620003,99.68,129.584,0.0,0.0,0.0,1,0,0,1,1,0,1,4,0,1,0,0.0,0.0,0.0,0.0,0.0
1971-04-21,109.519997,109.519997,109.519997,109.519997,109.519997,0,104.7189996,0.0,0.0,0.0,0.0,0.0,110.160004,82.620003,99.68,129.584,0.0,0.0,0.0,1,0,0,1,1,0,1,4,0,1,0,0.0,0.0,0.0,0.0,0.0
1971-04-22,109.989998,109.989998,109.989998,109.989998,109.989998,0,104.90359952,0.0,0.0,0.0,0.0,0.0,110.160004,82.620003,99.68,129.584,0.0,0.0,0.0,1,0,0,1,1,0,1,4,0,1,0,0.0,0.0,0.0,0.0,0.0
1971-04-23,110.690002,110.690002,110.690002,110.690002,110.690002,0,105.10359952,0.0,0.0,0.0,0.0,0.0,110.690002,83.01750150000001,99.68,129.584,0.0,0.0,0.0,1,0,0,1,1,0,1,4,0,1,0,0.0,0.0,0.0,0.0,0.0
1971-04-26,111.129997,111.129997,111.129997,111.129997,111.129997,0,105.29719952,0.0,0.0,0.0,0.0,0.0,111.129997,83.34749775,99.68,129.584,0.0,0.0,0.0,1,0,0,1,1,0,1,4,0,1,0,0.0,0.0,0.0,0.0,0.0
1971-04-27,111.690002,111.690002,111.690002,111.690002,111.690002,0,105.4899995,0.0,0.0,0.0,0.0,0.0,111.690002,83.76750150000001,99.68,129.584,0.0,0.0,0.0,1,0,0,1,1,0,1,4,0,1,0,0.0,0.0,0.0,0.0,0.0
1971-04-28,112.370003,112.370003,112.370003,112.370003,112.370003,0,105.69359951999999,0.0,0.0,0.0,0.0,0.0,112.370003,84.27750225,99.68,129.584,0.0,0.0,0.0,1,0,0,1,1,0,1,4,0,1,0,0.0,0.0,0.0,0.0,0.0
1971-04-29,112.459999,112.459999,112.459999,112.459999,112.459999,0,105.90799954,0.0,0.0,0.0,0.0,0.0,112.459999,84.34499925,99.68,129.584,0.0,0.0,0.0,1,0,0,1,1,0,1,4,0,1,0,0.0,0.0,0.0,0.0,0.0
1971-04-30,112.300003,112.300003,112.300003,112.300003,112.300003,0,106.12559964,0.0,0.0,0.0,0.0,0.0,112.459999,84.34499925,99.68,129.584,0.0,0.0,0.0,1,0,0,1,1,0,1,4,0,1,0,0.0,0.0,0.0,0.0,0.0
1971-05-03,111.349998,111.349998,111.349998,111.349998,111.349998,0,106.33859966,0.0,0.0,0.0,0.0,0.0,112.459999,84.34499925,99.68,129.584,0.0,0.0,0.0,1,0,0,1,1,0,1,4,0,1,0,0.0,0.0,0.0,0.0,0.0
