Ticker,Company,Sector,Industry,MarketCap,P/E,FwdP/E,InsiderOwn,EarningsDate,Volume,Price,RS,Date,ATH,52W High,U/D,^IXIC Total,Total,Prev Total,No1,No4,No5,No6,SMA10,EMA8,EMA21,SMA50,SMA200,EMA8 Gap,SMA200 Gap,Volume SMA50,BuyFlg1,BuyFlg2,BuyFlg4,BuyingFlg
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,2992.91B,36.43,30.14,1.52%,Jan 30/a,"24,307,916",402.79,69.76,2024-02-20,419.773712,419.773712,1.296957832384895,7,7,7.0,1,1,1,1,409.4110048,405.1901888867416,394.01301310173966,388.62875068,347.49754841500004,-0.59,15.91,24942440.0,0,1,1,0.0
AAPL,Apple Inc,Technology,Consumer Electronics,2803.63B,28.25,25.40,0.10%,Feb 01/a,"53,665,552",181.56,23.25,2024-02-20,197.857529,197.857529,0.6353548603318353,7,4,4.0,0,1,0,0,185.9227388,186.11165035462008,187.36431911775225,189.4374677,183.07769295,-2.45,-0.83,55900318.0,1,0,0,0.0
GOOG,Alphabet Inc,Communication Services,Internet Content & Information,1767.97B,24.50,18.17,57.55%,Jan 30/a,"18,625,588",142.20,50.38,2024-02-20,154.839996,154.839996,1.602781322644568,7,6,6.0,1,1,0,1,145.9669983,145.62513420988867,143.99173305017803,143.1033996,132.6039249,-2.35,7.24,22520758.0,1,1,0,0.0
GOOGL,Alphabet Inc,Communication Services,Internet Content & Information,1754.54B,24.31,18.03,52.78%,Jan 30/a,"24,935,710",141.12,48.83,2024-02-20,153.509995,153.509995,1.5506280906382817,7,6,6.0,1,1,0,1,144.7570006,144.3369749210159,142.62326323253004,141.69659994000003,131.5980502,-2.23,7.24,29863626.0,1,1,0,0.0
AMZN,Amazon.com Inc.,Consumer Cyclical,Internet Retail,1735.53B,57.82,31.11,11.30%,Feb 01/a,"41,980,328",167.08,79.84,2024-02-20,186.570496,174.449997,1.1678852748970618,7,7,7.0,1,1,1,1,170.2319977,166.5929477269388,159.64888964162353,156.85699888,137.549500225,0.29,21.47,48747736.0,1,1,1,0.0
NVDA,NVIDIA Corp,Technology,Semiconductors,1715.46B,91.70,31.11,4.03%,Feb 21/a,"70,483,312",694.52,98.44,2024-02-20,739.0,739.0,1.9030960214001984,7,7,7.0,1,1,1,1,713.0950011,682.0499468804669,613.6431204095754,574.02459956,464.597188875,1.83,49.49,44892844.0,1,1,1,0.0
META,Meta Platforms Inc,Communication Services,Internet Content & Information,1202.68B,31.67,20.37,14.01%,Feb 01/a,"18,015,524",471.75,96.89,2024-02-20,484.029999,484.029999,1.651138173657975,7,7,7.0,1,1,1,1,469.3819976000001,449.1174382660547,408.76273080377945,387.47059994,319.130800225,5.04,47.82,19540426.0,1,1,1,0.0
BRK-A,Berkshire Hathaway Inc.,Financial,Insurance - Diversified,882.92B,11.63,22.97,60.42%,Nov 04/a,"20,282",613140.00,54.26,2024-02-20,613140.0,613140.0,2.0903348073278587,7,7,7.0,1,1,1,1,600992.8,593516.5991777381,575134.8128313255,565660.46,536171.315,3.31,14.36,9784.0,1,1,1,0.0
BRK-B,Berkshire Hathaway Inc.,Financial,Insurance - Diversified,881.89B,11.58,22.87,39.81%,Feb 26/b,"3,534,163",407.15,57.36,2024-02-20,407.149994,407.149994,2.125483916218959,7,7,7.0,1,1,1,1,399.5029937,393.91596846398704,380.5007217239347,373.1043982,352.95354923,3.36,15.36,3431200.0,1,1,1,0.0
LLY,Lilly(Eli) & Co,Healthcare,Drug Manufacturers - General,717.36B,130.27,41.98,10.67%,Feb 06/b,"4,701,094",755.66,93.79,2024-02-20,782.059998,782.059998,1.5277003623656509,7,7,7.0,1,1,1,1,743.1614747000001,716.6877939476736,666.852313316757,638.49664798,546.056404565,5.44,38.38,3286880.0,0,1,1,0.0
TSLA,Tesla Inc,Consumer Cyclical,Auto Manufacturers,617.08B,45.03,45.82,13.03%,Jan 24/a,"104,545,760",193.76,2.33,2024-02-20,409.970001,293.339996,0.8430688348835544,7,2,3.0,0,0,0,0,191.0830018,194.93206654331425,208.2272144184396,219.95319974,233.5781997,-0.6,-17.05,109737310.0,1,0,0,0.0
AVGO,Broadcom Inc,Technology,Semiconductors,574.20B,37.24,21.96,2.08%,Mar 07/a,"2,632,919",1226.55,92.24,2024-02-20,1283.439941,1283.439941,2.329848446127516,7,7,7.0,1,1,1,1,1255.3880004,1233.284081121952,1168.8149854065232,1152.45388672,918.78121858,-0.55,33.5,3439840.0,1,1,1,0.0
V,Visa Inc,Financial,Credit Services,552.77B,32.17,24.64,21.51%,Jan 25/a,"6,157,178",275.15,42.63,2024-02-20,280.980011,280.980011,1.727558155019786,7,6,7.0,1,1,1,0,277.0454897,275.19758290457,268.7367777006396,266.48131382,244.0881801,-0.02,12.73,5612000.0,1,1,0,0.0
JPM,JPMorgan Chase & Co.,Financial,Banks - Diversified,519.60B,11.08,11.16,1.02%,Jan 12/b,"9,667,959",179.73,65.11,2024-02-20,179.869995,179.869995,1.4802198463730338,7,7,7.0,1,1,1,1,176.5049974,175.5304618673794,170.59606290877477,170.00777866,150.59715217,2.39,19.34,9640808.0,1,1,1,0.0
UNH,Unitedhealth Group Inc,Healthcare,Healthcare Plans,481.94B,21.85,16.62,0.18%,Jan 12/b,"2,600,288",521.06,19.38,2024-02-20,551.089966,551.089966,0.7663183720621756,7,5,5.0,1,1,0,0,518.329001,516.8719453319045,519.9436024382811,523.32880196,505.591953755,0.81,3.06,3755154.0,1,0,0,0.0
WMT,Walmart Inc,Consumer Defensive,Discount Stores,473.46B,30.66,22.53,46.70%,Feb 20/b,"23,929,538",175.86,44.18,2024-02-20,175.860001,175.860001,1.8890539111052345,7,7,6.0,1,1,1,1,170.139,168.60346908303123,164.59067003833198,161.390401,158.04522722,4.3,11.27,7341294.0,0,1,1,0.0
MA,Mastercard Incorporated,Financial,Credit Services,421.43B,38.18,26.92,11.34%,Jan 31/b,"5,044,210",451.75,51.16,2024-02-20,471.279999,471.279999,1.5635939886850097,7,7,7.0,1,1,1,1,461.4070007,455.7787215175484,441.4474091103341,435.59476626,402.891594855,-0.88,12.13,2547510.0,1,1,1,0.0
XOM,Exxon Mobil Corp.,Energy,Oil & Gas Integrated,410.67B,11.56,10.79,0.19%,Feb 02/b,"17,650,010",102.75,11.63,2024-02-20,118.01403,118.01403,0.8586753072403235,7,3,3.0,0,0,1,0,102.1042746,101.68279664826922,101.13408119558576,100.15126774,104.055757435,1.05,-1.25,20313284.0,1,0,0,0.0
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,380.01B,28.31,14.35,0.18%,Jan 23/b,"9,501,742",157.86,16.28,2024-02-20,175.705078,170.551208,1.1114312110067066,7,4,2.0,1,0,1,0,156.2116578,156.7113741245019,156.57350696468222,156.93320287999998,156.8222561,0.73,0.66,7222066.0,1,1,0,0.0
PG,Procter & Gamble Co.,Consumer Defensive,Household & Personal Products,372.98B,26.55,22.74,0.06%,Jan 23/b,"6,622,058",158.51,27.9,2024-02-20,159.179993,159.179993,1.5400258018343786,7,6,6.0,1,1,1,0,157.6179994,156.4569072566202,153.3778412868715,150.62083552,149.157886875,1.31,6.27,7552594.0,1,1,0,0.0
HD,"Home Depot, Inc.",Consumer Cyclical,Home Improvement Retail,360.85B,24.01,22.03,0.28%,Feb 20/b,"4,830,046",362.57,56.58,2024-02-20,394.975494,365.450012,1.5594956967790472,7,7,7.0,1,1,1,1,361.3080016,359.13607028537814,350.7959356547589,351.63979978000003,315.93179567,0.96,14.76,3524702.0,1,1,1,0.0
