Ticker,CQ_EPS,NQ_EPS,CY_EPS,NY_EPS,CQ_Rev,NQ_Rev,CY_Rev,NY_Rev,Year,Annual EPS,Annual Revenue,Date,Quarter EPS,Quarter Revenue,Previous Quarter EPS2,Previous Quarter EPS,Corrent Quarter EPS,Next Quarter EPS,Previous Annual EPS2,Previous Annual EPS,Corrent Annual EPS,Next Annual EPS,Previous Quarter Revenue2,Previous Quarter Revenue,Corrent Quarter Revenue,Next Quarter Revenue,Previous Annual Revenue2,Previous Annual Revenue,Corrent Annual Revenue,Next Annual Revenue
AMZN,0.77,0.87,3.83,4.93,132180000000.0,139310000000.0,595230000000.0,663500000000.0,,,,,,,325.0,381.0,148.4,38.1,-108.3,1174.1,32.1,28.7,12.6,13.9,3.8,3.7,9.4,11.8,3.6,11.5
AMZN,,,,,,,,,2023,2.9,,,,,325.0,381.0,148.4,38.1,-108.3,1174.1,32.1,28.7,12.6,13.9,3.8,3.7,9.4,11.8,3.6,11.5
AMZN,,,,,,,,,2022,-0.27,,,,,325.0,381.0,148.4,38.1,-108.3,1174.1,32.1,28.7,12.6,13.9,3.8,3.7,9.4,11.8,3.6,11.5
AMZN,,,,,,,,,2021,3.2405,,,,,325.0,381.0,148.4,38.1,-108.3,1174.1,32.1,28.7,12.6,13.9,3.8,3.7,9.4,11.8,3.6,11.5
AMZN,,,,,,,,,,,,2023/12/31,1.01,,325.0,381.0,148.4,38.1,-108.3,1174.1,32.1,28.7,12.6,13.9,3.8,3.7,9.4,11.8,3.6,11.5
AMZN,,,,,,,,,,,,2023/09/30,0.85,,325.0,381.0,148.4,38.1,-108.3,1174.1,32.1,28.7,12.6,13.9,3.8,3.7,9.4,11.8,3.6,11.5
AMZN,,,,,,,,,,,,2023/06/30,0.63,,325.0,381.0,148.4,38.1,-108.3,1174.1,32.1,28.7,12.6,13.9,3.8,3.7,9.4,11.8,3.6,11.5
AMZN,,,,,,,,,,,,2023/03/31,0.31,,325.0,381.0,148.4,38.1,-108.3,1174.1,32.1,28.7,12.6,13.9,3.8,3.7,9.4,11.8,3.6,11.5
AMZN,,,,,,,,,,,,2022/12/31,0.21,,325.0,381.0,148.4,38.1,-108.3,1174.1,32.1,28.7,12.6,13.9,3.8,3.7,9.4,11.8,3.6,11.5
AMZN,,,,,,,,,,,,2022/09/30,0.2,,325.0,381.0,148.4,38.1,-108.3,1174.1,32.1,28.7,12.6,13.9,3.8,3.7,9.4,11.8,3.6,11.5
AMZN,,,,,,,,,,,,2022/06/30,0.1,,325.0,381.0,148.4,38.1,-108.3,1174.1,32.1,28.7,12.6,13.9,3.8,3.7,9.4,11.8,3.6,11.5
AMZN,,,,,,,,,,,,2022/03/31,0.21,,325.0,381.0,148.4,38.1,-108.3,1174.1,32.1,28.7,12.6,13.9,3.8,3.7,9.4,11.8,3.6,11.5
AMZN,,,,,,,,,,,,2021/12/31,1.39,,325.0,381.0,148.4,38.1,-108.3,1174.1,32.1,28.7,12.6,13.9,3.8,3.7,9.4,11.8,3.6,11.5
AMZN,,,,,,,,,,,,2021/09/30,0.31,,325.0,381.0,148.4,38.1,-108.3,1174.1,32.1,28.7,12.6,13.9,3.8,3.7,9.4,11.8,3.6,11.5
AMZN,,,,,,,,,2023,,574785000000.0,,,,325.0,381.0,148.4,38.1,-108.3,1174.1,32.1,28.7,12.6,13.9,3.8,3.7,9.4,11.8,3.6,11.5
AMZN,,,,,,,,,2022,,513983000000.0,,,,325.0,381.0,148.4,38.1,-108.3,1174.1,32.1,28.7,12.6,13.9,3.8,3.7,9.4,11.8,3.6,11.5
